번호,위치,위도,경도,타입,관리기관,전화번호
1,중구 계산동2가 신성미소시티(건강보험심사평가원) 옆 자전거보관대,35.8668528,128.5887515,태양광,중구청,053-661-2885
2,중구 공평동 2.28기념중앙공원 북서편 자전거보관대,35.8698526,128.5977784,수동식,중구청,053-661-2885
3,중구 남산동 남산역(3호선) 자전거보관대 2번출구 옆 자전거보관대,35.856659,128.583431,수동식,중구청,053-661-2885
4,중구 남산동 남산휴먼시아1단지 옆 자전거수리센터(남산로17길 69),35.8628531,128.5788359,수동식,중구청,053-661-2885
5,중구 남산동 명덕역(3호선) 2번출입구 뒤 자전거보관대,35.858145,128.591241,수동식,중구청,053-661-2885
6,중구 남산동 신남역(3호선) 3번출입구 뒤 자전거보관대,35.865051,128.582911,수동식,중구청,053-661-2885
7,중구 남산동 신남역(3호선) 6번출입구 옆 자전거보관대,35.865051,128.582911,수동식,중구청,053-661-2885
8,중구 달성동 달성공원 앞 자전거보관대,35.874004,128.5780991,태양광,중구청,053-661-2885
9,중구 달성동 달성공원역(3호선) 2번출입구 뒤 자전거보관대,35.8757248,128.5820011,수동식,중구청,053-661-2885
10,중구 대봉동 건들바위역(3호선) 4번출입구 뒤 자전거보관대,35.85541,128.599707,수동식,중구청,053-661-2885
11,중구 대봉동 경대병원역 4번출입구(세기헬스마트 앞 자전거보관대),35.8632147,128.6039169,태양광,중구청,053-661-2885
12,중구 대봉동 대봉교역(3호선) 1번출입구 뒤 자전거보관대,35.855004,128.606347,수동식,중구청,053-661-2885
13,중구 대신동 서문시장역(3호선) 2번출입구 뒤 자전거보관대,35.869681,128.58224,수동식,중구청,053-661-2885
14,중구 덕산동 반월당역 12번출입구 뒤(덕산빌딩 앞),35.864592,128.593334,태양광,중구청,053-661-2885
15,중구 덕산동 반월당역 14번출입구(삼성생명빌딩 앞),35.864592,128.593334,태양광,중구청,053-661-2885
16,중구 동산동 서문시장역(3호선) 4번출입구 뒤 자전거보관대,35.869681,128.58224,수동식,중구청,053-661-2885
17,중구 동산동 신남역 9번출입구,35.865051,128.582911,태양광,중구청,053-661-2885
18,중구 동성로2가 올리브영 대구동성로점 앞 자전거보관대,35.8709966,128.5954662,태양광,중구청,053-661-2885
19,중구 동인동2가 중구청 내 주차장,35.8692838,128.6060779,태양광,중구청,053-661-2885
20,중구 동인동3가 신천둔치 자전거수리센터(동신교와 신천교 중간지점),35.8681587,128.6141658,태양광,중구청,053-661-2885
21,중구 사일동 롯데영프라자 앞 자전거보관대,35.8713246,128.5943342,태양광,중구청,053-661-2885
22,중구 삼덕동 대구동부교회 앞 자전거보관대,35.8627425,128.6066944,태양광,중구청,053-661-2885
23,중구 삼덕동1가 봉산육거리(수협은행대구지점 옆),35.8646144,128.5988295,태양광,중구청,053-661-2885
24,중구 수창동 달성공원역(3호선) 4번출입구 뒤 자전거보관대,35.8757248,128.5820011,수동식,중구청,053-661-2885
25,중구 중앙대로 398(현대캐피탈 빌당 앞),35.8685194,128.5939454,태양광,중구청,053-661-2885
26,중구 대봉1동(대봉1동주민센터),35.8616037,128.6043613,태양광,중구청,053-661-2885
27,동구 검사동 금호강 둔치(해맞이다리 밑),35.8850454,128.6491051,태양광,동구청,053-662-3014
28,동구 검사동 동촌역 자전거주차장 내,35.8867797,128.6487769,태양광,동구청,053-662-3014
29,동구 율하동 안심도서관 자전거보관대 옆,35.8590312,128.701814,태양광,동구청,053-662-3014
30,동구 신암동 동구청 내,35.8866013,128.6355799,태양광,동구청,053-662-3014
31,동구 신암동 아양교역 4번출입구,35.887195,128.639859,태양광,동구청,053-662-3014
32,동구 괴정동 안심역 2번출입구,35.87125,128.733868,태양광,동구청,053-662-3014
33,동구 신기동 신기역 4번출입구 뒤편,35.8668077,128.7029009,태양광,동구청,053-662-3014
34,동구 율하동 율하역 3번출입구,35.869577,128.693037,태양광,동구청,053-662-3014
35,동구 신천동 신천역 5번출입구 뒤편,35.874616,128.617581,태양광,동구청,053-662-3014
36,동구 봉무동 버스정류소(봉무공원건너) 옆 자전거보관대,35.9202102,128.6499178,태양광,동구청,053-662-3014
37,동구 방촌동 버스정류소(농협방촌지점) 옆 자전거보관대,35.8817283,128.6654979,태양광,동구청,053-662-3014
38,동구 율하동 율하역 3번출 앞(추가),35.869577,128.693037,태양광,동구청,053-662-3014
39,동구 신암동 팔공노인복지관 앞,35.8874852,128.6310944,태양광,동구청,053-662-3014
40,서구 내당동 감삼못공원 내 자전거보관대(GS25대구내당점 건너편),35.8571321,128.5524582,태양광,서구청,053-663-3015
41,서구 내당동 감삼역 4번출입구(농협 앞 자전거보관대),35.854327,128.548085,태양광,서구청,053-663-3015
42,서구 내당동 내당역 1번출입구(홈플러스 내당점 앞),35.8604365,128.5636985,태양광,서구청,053-663-3015
43,서구 내당동 두류역 17번출입구,35.8570894,128.5558608,태양광,서구청,053-663-3015
44,서구 내당동 두류역 20번출입구,35.8570894,128.5558608,태양광,서구청,053-663-3015
45,서구 내당동 두류역 6번출입구(프라임입시학원 앞),35.8565498,128.5530504,태양광,서구청,053-663-3015
46,서구 내당동 반고개역 1번출입구 뒤편,35.862391,128.573355,태양광,서구청,053-663-3015
47,서구 내당동 세종마트 앞 자전거보관대,35.8673747,128.5703843,태양광,서구청,053-663-3015
48,서구 비산동 공단역(3호선) 자운성 앞 자전거보관대,35.8921571,128.5534645,수동식,서구청,053-663-3015
49,서구 비산동 공단역(3호선) 팔공자동차정비공장 앞 자전거보관대,35.8921571,128.5534645,수동식,서구청,053-663-3015
50,서구 비산동 날뫼새마을금고 앞,35.8782401,128.5750025,태양광,서구청,053-663-3015
51,서구 비산동 달서천 자전거대여소 앞,35.882461,128.5561937,태양광,서구청,053-663-3015
52,서구 비산동 만평네거리(쌍용자동차 앞 자전거보관대),35.8892108,128.5608369,태양광,서구청,053-663-3015
53,서구 비산동 만평새마을금고 본점,35.8870444,128.5635867,태양광,서구청,053-663-3015
54,서구 비산동 북부시외버스공용정류장 입구 자전거보관대,35.884228,128.555236,태양광,서구청,053-663-3015
55,서구 비산동 북비산네거리(보성장 앞 자전거보관대),35.8892111,128.5641123,태양광,서구청,053-663-3015
56,서구 비산동 북비산네거리(서대구농협 앞 자전거보관대),35.8803033,128.5709388,태양광,서구청,053-663-3015
57,서구 비산동 비산2.3동주민센터,35.875796,128.574697,태양광,서구청,053-663-3015
58,서구 비산동 비산5동공영주차장 내 자전거보관대,35.8865723,128.5691139,태양광,서구청,053-663-3015
59,서구 비산동 비산5동주민센터 자전거보관대,35.886267,128.5695866,태양광,서구청,053-663-3015
60,서구 비산동 비산7동주민센터 내 자전거보관대,35.8879885,128.553532,태양광,서구청,053-663-3015
61,서구 비산동 비산네거리 횡단보도 옆(경상서적 앞),35.8724852,128.5715095,태양광,서구청,053-663-3015
62,서구 비산동 비산성당 앞 자전거보관대,35.8834888,128.570687,태양광,서구청,053-663-3015
63,서구 비산동 평산교회 주차장 입구 옆,35.8778234,128.5685587,태양광,서구청,053-663-3015
64,서구 비산동 평산지구대 앞 자전거보관대,35.873324,128.5714752,태양광,서구청,053-663-3015
65,서구 상리동 버스정류소(상리동종점2) 옆(대성스틸 옆),35.883296,128.530054,태양광,서구청,053-663-3015
66,서구 상리동 상리자전거교통안전교육장,35.8771528,128.5258449,태양광,서구청,053-663-3015
67,서구 원대동 달성초등학교 서쪽(e-끌림헤어 맞은편),35.8824064,128.5793631,태양광,서구청,053-663-3015
68,서구 원대동 비원지구대 앞 자전거보관대,35.8837154,128.5753299,태양광,서구청,053-663-3015
69,서구 원대동 서구제일종합사회복지관 자전거보관대 ,35.8857115,128.578863,태양광,서구청,053-663-3015
70,서구 원대동 원대금류타운(금류미용실 옆),35.8831007,128.5809185,태양광,서구청,053-663-3015
71,서구 원대동 원대새마을금고 제1지점 앞,35.8867951,128.5744191,태양광,서구청,053-663-3015
72,서구 원대동 원대오거리(대구은행 앞 자전거보관대),35.8887111,128.5742523,태양광,서구청,053-663-3015
73,서구 이현동 청소년수련관 네거리 횡단보도 옆(이현공원 방향),37.5454212,126.6759723,태양광,서구청,053-663-3015
74,서구 중리동 상중이동주민센터 자전거보관대,35.8678797,128.5442835,태양광,서구청,053-663-3015
75,서구 중리동 서구국민체육센터 내,37.5661406,126.67786,태양광,서구청,053-663-3015
76,서구 중리동 선거관리위원회 횡단보도 옆,35.8655425,128.5421983,태양광,서구청,053-663-3015
77,서구 중리동 중리중학교 남쪽 자전거보관대,35.863681,128.550464,태양광,서구청,053-663-3015
78,서구 중리동 퀸스로드 네거리 횡단보도 옆(중리체육공원 방향),35.8614623,128.5456859,태양광,서구청,053-663-3015
79,서구 평리동 대평중학교 남쪽 자전거보관대,35.8799063,128.5624203,태양광,서구청,053-663-3015
80,서구 평리동 서구청 내 동쪽 자전거보관대,35.8717406,128.5591708,태양광,서구청,053-663-3015
81,서구 평리동 서부도서관(입구 오른쪽),35.8722656,128.5576599,태양광,서구청,053-663-3015
82,서구 평리동 서부중학교 남쪽 자전거보관대(현수막게시판 앞),35.8800173,128.5566431,태양광,서구청,053-663-3015
83,서구 평리동 신평리네거리(대원빌딩 앞),35.8708227,128.5552846,태양광,서구청,053-663-3015
84,서구 평리동 와룡새마을금고본점 앞,35.8695462,128.5486441,태양광,서구청,053-663-3015
85,서구 평리동 중평시장 입구(중평새마을금고제2지점 앞 자전거보관대),35.868064,128.5566019,태양광,서구청,053-663-3015
86,서구 평리동 평리1동주민센터 자전거보관대,35.8755458,128.5631704,태양광,서구청,053-663-3015
87,서구 평리동 평리5동주민센터 자전거보관대,35.8737682,128.5487269,태양광,서구청,053-663-3015
88,서구 평리동 평리광명네거리 횡단보도 옆(유진장 앞),35.8755456,128.5549211,태양광,서구청,053-663-3015
89,서구 평리동 평리네거리 횡단보도 옆(소공원 방향),35.8790452,128.554921,태양광,서구청,053-663-3015
90,남구 대명동 대명2동주민센터 앞 자전거보관대,35.8552644,128.5863216,태양광,남구청,053-664-3018
91,남구 대명동 대명역 4번출입구,35.839291,128.565469,태양광,남구청,053-664-3018
92,남구 대명동 명덕역(3호선) 4번출입구 옆,35.858145,128.591241,태양광,남구청,053-664-3018
93,남구 대명동 명덕역(3호선) 4번출입구 옆,35.858145,128.591241,수동식,남구청,053-664-3018
94,남구 대명동 서부정류장 동쪽 자전거보관대,35.8380375,128.5671845,태양광,남구청,053-664-3018
95,남구 대명동 서부정류장 서쪽 주차장 입구 자전거보관대,35.8367364,128.5577961,태양광,남구청,053-664-3018
96,남구 대명동 성당못네거리(라온치과병원 앞),35.8372201,128.5566275,태양광,남구청,053-664-3018
97,남구 대명동 안지랑역 4번출입구 뒤편,35.83921,128.574188,태양광,남구청,053-664-3018
98,남구 대명동 영대병원역 2번출입구 뒤편,35.844269,128.588251,태양광,남구청,053-664-3018
99,남구 대명동 현충로역 1번출입구 뒤편,35.840899,128.581375,태양광,남구청,053-664-3018
100,남구 대명동 현충로역 3번출입구 뒤편,35.840899,128.581375,수동식,남구청,053-664-3018
101,남구 대명동 현충로역 4번출입구,35.840899,128.581375,태양광,남구청,053-664-3018
102,남구 봉덕동 고산골 관리사무소 근처,35.8248399,128.6026845,수동식,남구청,053-664-3018
103,남구 봉덕동 고산골 맨발산책로 입구,35.8300041,128.6034426,수동식,남구청,053-664-3018
104,남구 봉덕동 봉덕1동주민센터 앞 자전거보관대,35.8424354,128.5959629,태양광,남구청,053-664-3018
105,남구 봉덕동 상동교 아래(좌측) 신천둔치,35.8764773,128.6056974,태양광,남구청,053-664-3018
106,남구 봉덕동 상동교 아래(우측) 신천둔치,35.8345515,128.6063619,태양광,남구청,053-664-3018
107,남구 봉덕동 앞산힐스테이트아파트 맞은편 자전거보관대,35.8409236,128.6023649,태양광,남구청,053-664-3018
108,남구 봉덕동 앞산힐스테이트 서쪽(봉덕동 1063-9 앞 자전거보관대),35.8409236,128.6023649,태양광,남구청,053-664-3018
109,남구 봉덕동 세븐일레븐 대구봉덕희망점 옆 자전거보관대,35.8452444,128.5947238,태양광,남구청,053-664-3018
110,남구 이천동 건들바위역(3호선) 2번출입구 뒤 자전거보관대,35.85541,128.599707,수동식,남구청,053-664-3018
111,남구 이천동 대봉교역(3호선) 1번출입구 뒤 자전거보관대,35.855004,128.606347,수동식,남구청,053-664-3018
112,남구 이천동 희망교 아래(자전거수리센터 옆),37.4767938,126.9823001,태양광,남구청,053-664-3018
113,남구 대명동 현충로역 3번출구,35.84116,128.582333,수동식,남구청,053-664-3018
114,남구 이천동 희망교 하단,35.847411,128.6065837,수동식,남구청,053-664-3018
115,북구 구암동 구암역(3호선) 1번출입구 자전거보관대,35.925761,128.550408,수동식,북구청,053-665-2918
116,북구 구암동 운암공원교차로 옆 자전거보관대,35.9322613,128.5686683,태양광,북구청,053-665-2918
117,북구 구암동 칠곡운암역(3호선) 1번출입구 옆 자전거보관대,35.931487,128.554571,수동식,북구청,053-665-2918
118,북구 노원동3가 공단역(3호선) 중앙렌트카 앞 자전거보관대,35.8921571,128.5534645,수동식,북구청,053-665-2918
119,북구 노원동3가 공단역(3호선) 태정자동차검사소 앞 자전거보관대,35.8921571,128.5534645,수동식,북구청,053-665-2918
120,북구 동천동 972-2(거동교 옆 자전거보관대),35.9460545,128.5549431,전기식,북구청,053-665-2918
121,북구 동천동 동천성당(SK셀프주유소 동천점 옆) 자전거보관대,35.9418226,128.5574467,전기식,북구청,053-665-2918
122,북구 동천동 동천역(3호선) 북쪽 자전거보관대,35.937705,128.556664,태양광,북구청,053-665-2918
123,북구 동천동 동천역(3호선) 엘리베이터 옆 자전거보관대,35.937705,128.556664,수동식,북구청,053-665-2918
124,북구 동호동 칠곡경대병원역(3호선) 3번출입구 뒤 자전거보관대,35.958439,128.55991,수동식,북구청,053-665-2918
125,북구 동호동 칠곡경대병원역(3호선) 4번출입구 뒤 자전거보관대,35.958439,128.55991,수동식,북구청,053-665-2918
126,북구 매천동 매천시장역(3호선) 엘리베이터 옆 자전거보관대,35.904403,128.545744,수동식,북구청,053-665-2918
127,북구 매천동 매천역(3호선) 1번출입구 옆 자전거보관대,35.9127,128.54342,수동식,북구청,053-665-2918
128,북구 복현동 대불노인복지관 내,35.8986673,128.6169196,수동식,북구청,053-665-2918
129,북구 산격동 경대북문 평생교육원 옆 자전거보관대,35.888836,128.6102997,태양광,북구청,053-665-2918
130,북구 침산동 북구보건복지센터 주차장 입구,35.8917943,128.5888897,태양광,북구청,053-665-2918
131,북구 침산동 북부도서관 앞 자전거보관대,35.8851283,128.5839737,태양광,북구청,053-665-2918
132,북구 침산동 침산교 아래 신천둔치(신천대로 쪽),35.9009599,128.5926669,태양광,북구청,053-665-2918
133,북구 침산동 침산중학교 횡단보도 옆,35.8893937,128.5887242,태양광,북구청,053-665-2918
134,북구 태전동 태전역(3호선) 1번출입구 자전거보관대,35.919713,128.547448,수동식,북구청,053-665-2918
135,북구 팔달동 팔달역(3호선) 엘리베이터 옆 자전거보관대,35.897852,128.546715,수동식,북구청,053-665-2918
136,북구 학남로 83 학남중학교 앞,35.9454434,128.5704372,태양광,북구청,053-665-2918
137,북구 학정로 6 매천역 하단,35.9127,128.54342,태양광,북구청,053-665-2918
138,북구 침산동 오봉오거리(분수앞),35.8961548,128.5862232,태양광,북구청,053-665-2918
139,수성구 대흥동 대구스타디움 서편 수변광장 옆 자전거보관대,35.8295258,128.6902985,태양광,수성구청,053-666-2912
140,수성구 두산동 들안길삼거리(수성못계단 입구),35.8316814,128.6172972,태양광,수성구청,053-666-2912
141,수성구 두산동 황금역(3호선) SK리더스뷰 앞(중동교 방향 자전거보관대),35.8417468,128.6321919,수동식,수성구청,053-666-2912
142,수성구 만촌동 만촌역 4번출입구,35.85891,128.644982,태양광,수성구청,053-666-2912
143,수성구 만촌동 망우공원 영남제일관 입구 자전거보관대,35.8753531,128.6581892,태양광,수성구청,053-666-2912
144,수성구 만촌동 수성도서관 입구 자전거보관대,35.8721003,128.6392005,태양광,수성구청,053-666-2912
145,수성구 매호동 신매역 1번출입구 ,35.840875,128.704889,태양광,수성구청,053-666-2912
146,수성구 범물동 범물역(3호선) 3번출입구 뒤 자전거보관대,35.820853,128.640062,수동식,수성구청,053-666-2912
147,수성구 범물동 범물역(3호선) 동아백화점 앞 자전거보관대,35.820853,128.640062,수동식,수성구청,053-666-2912
148,수성구 범어동 동도중학교 입구 자전거보관대,35.8491986,128.639592,태양광,수성구청,053-666-2912
149,수성구 범어동 범어역 3번출입구,35.859028,128.626851,태양광,수성구청,053-666-2912
150,수성구 범어동 수성구청 내,35.8581602,128.6306367,태양광,수성구청,053-666-2912
151,수성구 범어동 수성구청역 1번출입구,35.858989,128.63056,태양광,수성구청,053-666-2912
152,수성구 수성동2가 대구은행역 3번출입구,35.859271,128.614944,태양광,수성구청,053-666-2912
153,수성구 수성동2가 수성시장역(3호선) 4번출입구 자전거보관대,35.854316,128.616048,수동식,수성구청,053-666-2912
154,수성구 신매동 고산2동주민센터 내,35.8371087,128.7124074,태양광,수성구청,053-666-2912
155,수성구 신매동 기업은행시지지점 앞 자전거보관대,35.8409692,128.7076299,태양광,수성구청,053-666-2912
156,수성구 신매동 사월역 2번출입구 뒤편,35.836976,128.715623,태양광,수성구청,053-666-2912
157,수성구 신천동로(수성교와 동신교 중간지점 체육공원 옆) ,35.8681587,128.6141658,태양광,수성구청,053-666-2912
158,수성구 연호동 대공원역 1번출입구 뒤편,35.842737,128.679979,태양광,수성구청,053-666-2912
159,수성구 지산동 수성못역(3호선) 한패밀리병원 앞 자전거보관대,35.8313285,128.624014,수동식,수성구청,053-666-2912
160,수성구 황금동 롯데캐슬골드파크 2단지상가(대구은행) 앞 자전거보관대,35.84194,128.6338591,태양광,수성구청,053-666-2912
161,수성구 황금동 어린이회관역(3호선)과 대구과학고등학교 사이 자전거보관대(황금네거리 방향 끝부분),35.8442173,128.6256098,수동식,수성구청,053-666-2912
162,수성구 황금동 어린이회관역(3호선) 어린이회관 방향(횡단보도 옆 자전거보관대),35.845179,128.624471,태양광,수성구청,053-666-2912
163,수성구 황금동 롯데캐슬골드파크 2단지상가(대구은행) 앞 자전거보관대,35.84194,128.6338591,태양광,수성구청,053-666-2912
164,수성구 신천동로(수성교와 동신교 중간지점 체육공원 옆) ,35.8681587,128.6141658,태양광,수성구청,053-666-2912
165,달서구 감삼동 죽전역 2번출입구(아웃백 앞),35.8557141,128.5398122,태양광,달서구청,053-667-2826
166,달서구 감삼동 죽전역 2번출입구(알리앙스 웨딩홀 앞),35.8557141,128.5398122,수동식,달서구청,053-667-2826
167,달서구 대곡동 대곡역 2번출입구,35.809487,128.512571,수동식,달서구청,053-667-2826
168,달서구 대곡동 대곡역 3번출입구(한라하우젠트 앞 자전거보관대),35.809487,128.512571,수동식,달서구청,053-667-2826
169,달서구 도원동 도원공원 내 자전거보관대 우측(서편),35.8058315,128.5436186,수동식,달서구청,053-667-2826
170,달서구 도원동 도원동주민센터 앞 네거리,35.8074901,128.5322212,태양광,달서구청,053-667-2826
171,달서구 도원동 월광수변공원 주차장 북편,35.7993324,128.5485072,수동식,달서구청,053-667-2826
172,달서구 두류동 감삼역 3번출입구 동편 100m(감삼빌딩 앞),35.854327,128.548085,수동식,달서구청,053-667-2826
173,달서구 두류동 내당역 2번 출입구,35.86014,128.564649,태양광,달서구청,053-667-2826
174,달서구 두류동 두류역 14번출입구,35.8570894,128.5558608,수동식,달서구청,053-667-2826
175,달서구 두류동 반고개역 3번출입구 뒤편,35.862391,128.573355,수동식,달서구청,053-667-2826
176,달서구 본리동 본리도서관 남동편(본리어린이공원 방향),35.8402996,128.5413956,태양광,달서구청,053-667-2826
177,달서구 상인동 상인고가교 밑(북편),35.818956,128.537865,수동식,달서구청,053-667-2826
178,달서구 상인동 상인남네거리(동해해물탕 파리바게트 앞),35.8127985,128.5446536,태양광,달서구청,053-667-2826
179,달서구 상인동 상인네거리(롯데백화점 서편),35.8188204,128.5388696,태양광,달서구청,053-667-2826
180,달서구 상인동 상인역 8번출입구(피자헛 옆 자전거보관대),35.8194397,128.5380623,태양광,달서구청,053-667-2826
181,달서구 상인동 상화네거리(횡단보도 옆),35.8098864,128.5361192,태양광,달서구청,053-667-2826
182,달서구 성당동 성당못 남편 성당로변(게시판 옆),35.8429385,128.5601438,태양광,달서구청,053-667-2826
183,달서구 성당동 성당못 북편 성당로변,35.837461,128.557404,수동식,달서구청,053-667-2826
184,달서구 송현동 성당못역 2번출입구 뒤편,35.8251562,128.5544412,수동식,달서구청,053-667-2826
185,달서구 송현동 송현2동주민센터 입구 우측 자전거보관대,35.8327728,128.5455621,수동식,달서구청,053-667-2826
186,달서구 송현동 송현역 1번출입구 뒤편,35.831069,128.551743,수동식,달서구청,053-667-2826
187,"달서구 송현동 월촌역 1,2번출입구 사이 엘리베이터 앞",35.823899,128.5458331,태양광,달서구청,053-667-2826
188,달서구 신당동 강창교 푸른초장교회 앞(횡단보도 옆),35.8536301,128.473985,태양광,달서구청,053-667-2826
189,달서구 신당동 강창역 2번출입구 남편,35.853091,128.4780687,수동식,달서구청,053-667-2826
190,달서구 신당동 강창역 3번출입구 뒤편,35.853091,128.4780687,태양광,달서구청,053-667-2826
191,달서구 신당동 계명대역 3번출입구 뒤편,35.851474,128.491956,태양광,달서구청,053-667-2826
192,"달서구 신당동 계명대역 5,6번출입구 사이 엘리베이터 옆",35.851474,128.491956,수동식,달서구청,053-667-2826
193,달서구 신당동 계명대학교 동문 앞,35.854364,128.491798,태양광,달서구청,053-667-2826
194,달서구 신당동 삼성명가타운(아세아스틸) 서쪽 삼거리(강변),35.850992,128.475346,태양광,달서구청,053-667-2826
195,달서구 용산동 용산역 1.5번출입구 사이 엘리베이터 옆,35.849047,128.528207,태양광,달서구청,053-667-2826
196,달서구 월성동 달서구청 내 자전거 보관대,35.8297339,128.5326441,태양광,달서구청,053-667-2826
197,달서구 월성동 대건중고교 입구(대건고교교차로),35.8340204,128.5287988,태양광,달서구청,053-667-2826
198,달서구 월성동 월성네거리 광고탑 앞(월성서한이다음 방향),35.8276496,128.5302761,태양광,달서구청,053-667-2826
199,달서구 월성동 월성네거리 광고탑 앞(월성서한이다음 방향),35.8276496,128.5302761,수동식,달서구청,053-667-2826
200,달서구 유천동 286(고속도로 고가교 아래),35.8158727,128.5075732,태양광,달서구청,053-667-2826
201,달서구 이곡동 불미골네거리 횡단보도 옆(성서국민체육센터 방향),35.8590745,128.5074261,태양광,달서구청,053-667-2826
202,달서구 이곡동 성서도서관 입구(주차장 옆),35.8574212,128.5144837,태양광,달서구청,053-667-2826
203,달서구 이곡동 성서산업단지역 3번출입구,35.851824,128.50635,태양광,달서구청,053-667-2826
204,달서구 이곡동 와룡(상)공원 삼거리 남동편(공원 북서편),35.8582733,128.5007349,태양광,달서구청,053-667-2826
205,달서구 이곡동 이곡역 5번출입구 뒤편,35.8511094,128.5153114,태양광,달서구청,053-667-2826
206,달서구 장기동 용산환승공영주차장 입구 옆 자전거보관대,35.8486703,128.5299554,태양광,달서구청,053-667-2826
207,달서구 진천동 월배역 4번출입구 뒤편,35.816266,128.530572,태양광,달서구청,053-667-2826
208,달서구 진천동 유천네거리(별난복어 앞),35.8100917,128.5315149,태양광,달서구청,053-667-2826
209,달서구 진천동 진천역 1번출입구 뒤편,35.813816,128.522578,태양광,달서구청,053-667-2826
210,달서구 진천동 진천역 3번출입구,35.813816,128.522578,태양광,달서구청,053-667-2826
211,달성군 논공읍 달성군청 내,35.7745414,128.4313244,태양광,달성군청,053-668-2916
212,달성군 다사읍 대실역 1번출입구(파리바게트 앞 자전거보관대),35.856447,128.464375,태양광,달성군청,053-668-2916
213,달성군 다사읍 대실역 3번출입구,35.857339,128.465605,태양광,달성군청,053-668-2916
214,달성군 옥포면 신당리 665-6(낙동강 종주길),35.8057649,128.4608033,태양광,달성군청,053-668-2916
